ID,Trinket Name,Emoji,Ability,Rarity,,Stats,
even,Even,balance scales,Score 4 points for each even digit.,Common,,Common,17
odd,Odd Duck,duck,Score 4 points for each odd digit.,Common,,Uncommon,18
pair,Cherries,cherries,Score 8 points for each pair of digits.,Common,,Rare,14
high,Head in the Clouds,head in clouds,Score 3 points for each digit that is 5 or higher.,Common,,Legendary,10
low,Small Fry,fries,Score 6 points for each digit lower than 4.,Common,,,
sum,Pocket Change,coin,Score the sum of all 6 digits.,Common,,,
sandwich,Sandwich,sandwich,Score 35 points for each 3-digit sandwich (first and last digit are the same.),Uncommon,,,
brainrot1,Brainrot I,wilted flower,Score 67 points if you have a 6 and a 7.,Uncommon,,,
seven,Lucky Seven,slot machine,Every 7 increases the points I give on every spin by 7.,Uncommon,,,
bookends,Bookends,book,Score 50 points if the first and last digits match.,Uncommon,,,
rainbow,Rainbow,rainbow,Score 9 points for each different digit.,Uncommon,,,
triple,Hat Trick,soccer ball,Score 100 points for every group of three matching digits.,Rare,,,
miniflush,Mini-Flush,toilet paper,Score 150 points if you have 4 of the same number.,Rare,,,
flush,Flush,toilet,Score 300 points if you have 5 of the same number.,Legendary,,,
brainrot2,Brainrot II,skull,"Score 167 points if you have a 6 and then 7, in that order.",Rare,,,
brainrot3,Brainrot III,shrug,Score 670 points if you only have 6s and 7s.,Legendary,,,
mining,Pickaxe,pickaxe,Increases the chance of Rares and Legendaries in the shop by 25%.,Uncommon,,,
magnifier,Magnifying Glass,magnifying glass,Increases the chance of Rares and Legendaries in the shop by 50%.,Rare,,,
detective,Detective,detective,"Score 10,000 points if you score the most common password (123456, in order).",Legendary,,,
pig,Piggy Bank,pig,Gain $20 after each spin.,Common,,,
stocks,Stonks,chart increasing with yen,Gain $100 after each spin.,Uncommon,,,
nerd,Nerd,nerd,Score 420 points and gain $42 for each non-rational number reel you score.,Rare,,,
hotface,Heat Miser,hot face,"Every warm number (8,9,0,1,2) increases the points I give on every spin by 2.",Uncommon,,,
coldface,Cold Miser,cold face,"Every cold number (3,4,5,6,7) increases the points I give on every spin by 2.",Uncommon,,,
eightball,Eight Ball,eight ball,Trinkets activate on 8s twice. ,Rare,,,
realknife,The Real Knife,kitchen knife,Every nine 9s you see guarantees a Legendary Trinket in the next shop and gives you $99.,Rare,,,
hundred,100,100,Score 100 points if your number ends in two zeroes.,Uncommon,,,
cross,The Cross,latin cross,Greatly reduce the chance to see the number 6.,Uncommon,,,
ministraight,Mini Straight,paperclip,"If you have 3 numbers in a row that go sequentially up or down, score the product of those numbers.",Rare,,,
straight,Straight,ruler,"If you have 4 or more numbers in a row that go sequentially up or down, score the product of those numbers.",Rare,,,
graduate,Graduate,graduate,Increases your chance to see Rare and Legendary tools.,Uncommon,,,
bearmarket,Bear Market,downwards chart,"If your last number is lower than your first number, gain $40 and score 40 points.",Uncommon,,,
bullmaket,Bull Market,upwards chart,"If your last number is lower than your first number, gain $40 and score 40 points.",Uncommon,,,
rabbit,Rabbit,rabbit,"I give 77 points each spin. If your final number is divisible by 7, permanently increase the points I give by 77.",Legendary,,,
crystalball,Crystal Ball,crystal ball,"When you see eight 8s, gain a random trinket.",Legendary,,,
heaven,11th Heaven,sun behind cloud,"I give 11 points each spin. If your final number is divisible by 11, permanently double the points I give.",Legendary,,,
